,a,first month,first year,last month,last year
0,13,9,2008,12,2008
1,9 To 5,4,2009,9,2009
2,A Chorus Line '06,1,2008,8,2008
3,A Christmas Story,11,2012,12,2012
4,A Gentleman'S Guide To Love And Murder,10,2013,1,2016
5,A Little Night Music,11,2009,1,2011
6,A Night With Janis Joplin,9,2013,2,2014
7,A Tale Of Two Cities,8,2008,11,2008
8,After Midnight,10,2013,6,2014
9,Aladdin,3,2014,8,2016
10,Allegiance,10,2015,2,2016
11,Amazing Grace,6,2015,10,2015
12,American Idiot,3,2010,4,2011
13,American Psycho,3,2016,6,2016
14,An American In Paris,3,2015,8,2016
15,Annie '12,10,2012,1,2014
16,Anything Goes '11,3,2011,7,2012
17,Avenue Q,1,2008,9,2009
18,Baby It'S You!,3,2011,9,2011
19,Beautiful: The Carole King Musical,11,2013,8,2016
20,Big Fish,9,2013,12,2013
21,Billy Elliot: The Musical,10,2008,1,2012
22,Bloody Bloody Andrew Jackson,9,2010,1,2011
23,Bonnie And Clyde,11,2011,1,2012
24,Bright Star,2,2016,6,2016
25,Bring It On The Musical,7,2012,12,2012
26,Bullets Over Broadway,3,2014,8,2014
27,Burn The Floor,7,2009,1,2010
28,Bye Bye Birdie,9,2009,1,2010
29,Cabaret (musical),3,2014,3,2015
30,Catch Me If You Can,3,2011,9,2011
31,Cats 2016,7,2016,8,2016
32,Chaplin,8,2012,1,2013
33,Chicago,1,2008,8,2016
34,Cinderella,1,2013,1,2015
35,Come Fly Away,3,2010,9,2010
36,Cry Baby,3,2008,6,2008
37,Curtains,1,2008,6,2008
38,Dames At Sea,9,2015,1,2016
39,Disaster!,2,2016,5,2016
40,Doctor Zhivago,3,2015,5,2015
41,Dr. Seuss' How The Grinch Stole Christmas! 07,1,2008,1,2008
42,Elf,11,2010,1,2011
43,Elf '12,11,2012,1,2013
44,Everyday Rapture,4,2010,7,2010
45,Evita,3,2012,1,2013
46,Fiddler On The Roof 2015,11,2015,8,2016
47,Finding Neverland,3,2015,8,2016
48,First Date,7,2013,1,2014
49,Follies '11,8,2011,1,2012
50,Fun Home,3,2015,8,2016
51,Ghost,3,2012,8,2012
52,Gigi,3,2015,6,2015
53,Glory Days,4,2008,5,2008
54,Godspell,10,2011,6,2012
55,Gypsy '08,3,2008,1,2009
56,Hair,3,2009,6,2010
57,Hairspray,1,2008,1,2009
58,Hamilton (musical),7,2015,8,2016
59,Hands On A Hardbody,2,2013,4,2013
60,Hedwig And The Angry Inch,3,2014,9,2015
61,Holler If Ya Hear Me,6,2014,7,2014
62,Honeymoon In Vegas,11,2014,4,2015
63,How To Succeed In Business Without Really Trying '11,2,2011,5,2012
64,If/Then,3,2014,3,2015
65,In The Heights,2,2008,1,2011
66,It Shoulda Been You,3,2015,8,2015
67,Jekyll & Hyde '13,4,2013,5,2013
68,Jersey Boys,1,2008,8,2016
69,Jesus Christ Superstar '12,3,2012,7,2012
70,Kinky Boots,3,2013,8,2016
71,La Cage Aux Folles '10,4,2010,5,2011
72,Leap Of Faith,4,2012,5,2012
73,Legally Blonde,1,2008,10,2008
74,Lysistrata Jones,11,2011,1,2012
75,Mamma Mia!,1,2008,9,2015
76,Mary Poppins,1,2008,3,2013
77,Matilda,3,2013,8,2016
78,Memphis,9,2009,8,2012
79,Million Dollar Quartet,3,2010,6,2011
80,Monty Python'S Spamalot,1,2008,1,2009
81,Motown The Musical 2016,7,2016,7,2016
82,Newsies,3,2012,8,2014
83,Next To Normal,3,2009,1,2011
84,Nice Work If You Can Get It,4,2012,6,2013
85,On A Clear Day You Can See Forever,11,2011,1,2012
86,On the Town (musical),2,2015,7,2015
87,On The Twentieth Century,10,2015,8,2016
88,On Your Feet!,9,2014,9,2015
89,Once,3,2012,1,2015
90,Pal Joey,11,2008,3,2009
91,Paramour,4,2016,8,2016
92,Passing Strange,2,2008,7,2008
93,Pippin,3,2013,1,2015
94,Porgy And Bess '11,12,2011,9,2012
95,Priscilla Queen Of The Desert,3,2011,6,2012
96,"Promises, Promises",3,2010,1,2011
97,Ragtime '09,10,2009,1,2010
98,Rain: A Tribute To The Beatles On Broadway,10,2010,7,2011
99,Rent,1,2008,9,2008
100,Rock Of Ages,3,2009,1,2015
101,Rocky,2,2014,8,2014
102,Scandalous,10,2012,12,2012
103,School Of Rock,11,2015,8,2016
104,She Loves Me 2016,2,2016,7,2016
105,Shrek The Musical,11,2008,1,2010
106,Shuffle Along,3,2016,7,2016
107,Side Show 2014,11,2014,1,2015
108,Sister Act,3,2011,8,2012
109,Something Rotten!,3,2015,8,2016
110,Soul Doctor,7,2013,10,2013
111,South Pacific,3,2008,8,2010
112,Spider-Man Turn Off The Dark,11,2010,1,2014
113,Spring Awakening,1,2008,1,2016
114,Sunday In The Park With George '08,1,2008,6,2008
115,The 25Th Annual Putnam County Spelling Bee,1,2008,1,2008
116,The Addams Family,3,2010,1,2012
117,The Book Of Mormon,2,2011,8,2016
118,The Bridges Of Madison County,1,2014,5,2014
119,The Color Purple 2015,11,2015,8,2016
120,The King And I 2015,3,2015,6,2016
121,The Last Ship,10,2014,1,2015
122,The Lion King,1,2008,8,2016
123,The Little Mermaid,1,2008,8,2009
124,The Mystery Of Edwin Drood '12,10,2012,3,2013
125,The People in the Picture,4,2011,6,2011
126,The Phantom Of The Opera,1,2008,8,2016
127,The Scottsboro Boys,10,2010,12,2010
128,The Story Of My Life,2,2009,2,2009
129,The Visit 2015,3,2015,6,2015
130,Tuck Everlasting,4,2016,5,2016
131,Waitress,3,2016,8,2016
132,West Side Story,3,2009,1,2011
133,Wicked,1,2008,8,2016
134,Women On The Verge Of A Nervous Breakdown,10,2010,1,2011
135,Wonderland,3,2011,5,2011
136,Xanadu,1,2008,9,2008
