date,Beautiful: The Carole King Musical,isPartial
11/24/13,6,FALSE
12/1/13,5,FALSE
12/8/13,17,FALSE
12/15/13,13,FALSE
12/22/13,16,FALSE
12/29/13,9,FALSE
1/5/14,30,FALSE
1/12/14,40,FALSE
1/19/14,25,FALSE
1/26/14,17,FALSE
2/2/14,7,FALSE
2/9/14,17,FALSE
2/16/14,12,FALSE
2/23/14,27,FALSE
3/2/14,20,FALSE
3/9/14,11,FALSE
3/16/14,17,FALSE
3/23/14,8,FALSE
3/30/14,18,FALSE
4/6/14,19,FALSE
4/13/14,7,FALSE
4/20/14,22,FALSE
4/27/14,32,FALSE
5/4/14,18,FALSE
5/11/14,16,FALSE
5/18/14,9,FALSE
5/25/14,22,FALSE
6/1/14,16,FALSE
6/8/14,100,FALSE
6/15/14,29,FALSE
6/22/14,27,FALSE
6/29/14,18,FALSE
7/6/14,16,FALSE
7/13/14,20,FALSE
7/20/14,19,FALSE
7/27/14,14,FALSE
8/3/14,17,FALSE
8/10/14,9,FALSE
8/17/14,28,FALSE
8/24/14,14,FALSE
8/31/14,13,FALSE
9/7/14,27,FALSE
9/14/14,20,FALSE
9/21/14,12,FALSE
9/28/14,15,FALSE
10/5/14,7,FALSE
10/12/14,7,FALSE
10/19/14,10,FALSE
10/26/14,4,FALSE
11/2/14,7,FALSE
11/9/14,10,FALSE
11/16/14,9,FALSE
11/23/14,14,FALSE
11/30/14,12,FALSE
12/7/14,8,FALSE
12/14/14,15,FALSE
12/21/14,10,FALSE
12/28/14,18,FALSE
1/4/15,7,FALSE
1/11/15,9,FALSE
1/18/15,16,FALSE
1/25/15,8,FALSE
2/1/15,8,FALSE
2/8/15,19,FALSE
2/15/15,15,FALSE
2/22/15,10,FALSE
3/1/15,19,FALSE
3/8/15,13,FALSE
3/15/15,20,FALSE
3/22/15,10,FALSE
3/29/15,10,FALSE
4/5/15,6,FALSE
4/12/15,13,FALSE
4/19/15,17,FALSE
4/26/15,9,FALSE
5/3/15,7,FALSE
5/10/15,21,FALSE
5/17/15,0,FALSE
5/24/15,9,FALSE
5/31/15,3,FALSE
6/7/15,11,FALSE
6/14/15,6,FALSE
6/21/15,5,FALSE
6/28/15,10,FALSE
7/5/15,6,FALSE
7/12/15,5,FALSE
7/19/15,6,FALSE
7/26/15,16,FALSE
8/2/15,8,FALSE
8/9/15,11,FALSE
8/16/15,11,FALSE
8/23/15,15,FALSE
8/30/15,15,FALSE
9/6/15,12,FALSE
9/13/15,20,FALSE
9/20/15,14,FALSE
9/27/15,6,FALSE
10/4/15,10,FALSE
10/11/15,20,FALSE
10/18/15,14,FALSE
10/25/15,8,FALSE
11/1/15,12,FALSE
11/8/15,14,FALSE
11/15/15,12,FALSE
11/22/15,17,FALSE
11/29/15,8,FALSE
12/6/15,13,FALSE
12/13/15,14,FALSE
12/20/15,15,FALSE
12/27/15,25,FALSE
1/3/16,19,FALSE
1/10/16,9,FALSE
1/17/16,13,FALSE
1/24/16,14,FALSE
1/31/16,10,FALSE
2/7/16,14,FALSE
2/14/16,19,FALSE
2/21/16,11,FALSE
2/28/16,19,FALSE
3/6/16,10,FALSE
3/13/16,17,FALSE
3/20/16,11,FALSE
3/27/16,5,FALSE
4/3/16,12,FALSE
4/10/16,7,FALSE
4/17/16,13,FALSE
4/24/16,15,FALSE
5/1/16,9,FALSE
5/8/16,9,FALSE
5/15/16,18,FALSE
5/22/16,18,FALSE
5/29/16,11,FALSE
6/5/16,11,FALSE
6/12/16,20,FALSE
6/19/16,15,FALSE
6/26/16,13,FALSE
7/3/16,9,FALSE
7/10/16,7,FALSE
7/17/16,15,FALSE
7/24/16,12,FALSE
7/31/16,18,FALSE
8/7/16,14,FALSE
8/14/16,10,FALSE