,First Week,Grand Mean,Name,Tony Season
0,50.85714286,54.4673913,13,0
1,23.85714286,25.10810811,9 To 5,0
2,0,0,A Chorus Line '06,0
3,3.142857143,7.162790698,A Christmas Story,0
4,7.714285714,7.307692308,A Gentleman'S Guide To Love And Murder,0
5,57.14285714,31.23728814,A Little Night Music,1
6,31,23.92907801,A Night With Janis Joplin,0
7,43.28571429,43.32051282,A Tale Of Two Cities,0
8,21,22.08695652,After Midnight,1
9,24.14285714,23.52713178,Aladdin,1
10,57.71428571,51.56692913,Allegiance,0
11,39.28571429,14.31666667,Amazing Grace,0
12,59.42857143,36.64912281,American Idiot,1
13,59.28571429,45.52112676,American Psycho,1
14,38.14285714,28.68,An American In Paris,0
15,38.28571429,49.25757576,Annie '12,1
16,0,0,Anything Goes '11,0
17,78.28571429,58.68539326,Avenue Q,0
18,0,0,Baby It'S You!,0
19,14.85714286,14.70629371,Beautiful: The Carole King Musical,0
20,78.57142857,72.47787611,Big Fish,0
21,9.285714286,10.40935673,Billy Elliot: The Musical,0
22,34.57142857,43.24242424,Bloody Bloody Andrew Jackson,0
23,46.71428571,46.73684211,Bonnie And Clyde,0
24,8.142857143,8.433333333,Bright Star,1
25,19.14285714,14.79881657,Bring It On The Musical,0
26,19,17.15432099,Bullets Over Broadway,1
27,55.71428571,39.04733728,Burn The Floor,0
28,37.85714286,31.87313433,Bye Bye Birdie,0
29,61.14285714,42.01851852,Cabaret (musical),0
30,37.71428571,22.55113636,Catch Me If You Can,1
31,62.14285714,62.48275862,Cats 2016,0
32,38.28571429,40.20149254,Chaplin,0
33,89.28571429,84.66990291,Chicago,0
34,42.14285714,44.93137255,Cinderella,1
35,17.85714286,20.58469945,Come Fly Away,0
36,38.14285714,48.39393939,Cry Baby,1
37,56.85714286,54.3125,Curtains,0
38,27.57142857,22.56565657,Dames At Sea,0
39,0,0,Disaster!,0
40,40,42.46511628,Doctor Zhivago,0
41,0,0,Dr. Seuss' How The Grinch Stole Christmas! 07,0
42,20.71428571,48.21052632,Elf,0
43,17.28571429,33.19298246,Elf '12,0
44,44.14285714,24.74358974,Everyday Rapture,1
45,73.28571429,56.32608696,Evita,1
46,29.71428571,4.468164794,Fiddler On The Roof 2015,0
47,68.14285714,38.61333333,Finding Neverland,0
48,63.28571429,65.40909091,First Date,0
49,0,0,Follies '11,0
50,15.57142857,16.26027397,Fun Home,1
51,54.14285714,60.2,Ghost,1
52,67.14285714,71.98913043,Gigi,1
53,48.85714286,59.53333333,Glory Days,0
54,25.28571429,27.03557312,Godspell,0
55,0,0,Gypsy '08,0
56,90.14285714,93.08695652,Hair,1
57,72.28571429,46.73584906,Hairspray,0
58,4,20.40350877,Hamilton (musical),0
59,24.14285714,29.12,Hands On A Hardbody,0
60,17.85714286,11.90909091,Hedwig And The Angry Inch,0
61,38.28571429,43.6744186,Holler If Ya Hear Me,0
62,28.85714286,16.06716418,Honeymoon In Vegas,0
63,0,0,How To Succeed In Business Without Really Trying '11,0
64,62,35.03636364,If/Then,1
65,27.14285714,38.53289474,In The Heights,0
66,7.571428571,9.907801418,It Shoulda Been You,0
67,0,0,Jekyll & Hyde '13,0
68,20.14285714,16.16504854,Jersey Boys,0
69,0,0,Jesus Christ Superstar '12,0
70,12.28571429,14.0718232,Kinky Boots,1
71,0,0,La Cage Aux Folles '10,0
72,35.85714286,40.77777778,Leap Of Faith,0
73,11.42857143,19.76190476,Legally Blonde,0
74,24.42857143,34.87719298,Lysistrata Jones,0
75,0,0,Mamma Mia!,0
76,34,45.22222222,Mary Poppins,0
77,58,59.73333333,Matilda,1
78,49,57.40666667,Memphis,1
79,32,31.53030303,Million Dollar Quartet,0
80,47.85714286,21.96296296,Monty Python'S Spamalot,0
81,0,0,Motown The Musical 2016,0
82,53.28571429,36.4375,Newsies,1
83,16.28571429,16.82105263,Next To Normal,0
84,51.42857143,35.8125,Nice Work If You Can Get It,1
85,38,31.5,On A Clear Day You Can See Forever,0
86,13,9.322580645,On the Town (musical),0
87,50.71428571,47.4,On The Twentieth Century,0
88,0,0,On Your Feet!,0
89,56.28571429,55.58389262,Once,1
90,31.42857143,27.01886792,Pal Joey,0
91,59.71428571,53.76666667,Paramour,0
92,11.71428571,17.7345679,Passing Strange,0
93,20,18.45744681,Pippin,1
94,0,0,Porgy And Bess '11,0
95,57.71428571,32.76811594,Priscilla Queen Of The Desert,0
96,45.85714286,26.09756098,"Promises, Promises",0
97,0,0,Ragtime '09,0
98,0,0,Rain: A Tribute To The Beatles On Broadway,0
99,80.28571429,83.39430894,Rent,0
100,6.714285714,10.62857143,Rock Of Ages,0
101,56,59.93989071,Rocky,1
102,27.71428571,25.19298246,Scandalous,0
103,61.28571429,63.15,School Of Rock,0
104,3,5.631205674,She Loves Me 2016,0
105,51.14285714,28.57377049,Shrek The Musical,0
106,4,5.464566929,Shuffle Along,1
107,0,0,Side Show 2014,0
108,78.71428571,59.84,Sister Act,1
109,0,0,Something Rotten!,0
110,31.42857143,28.90588235,Soul Doctor,0
111,50.57142857,41.45384615,South Pacific,1
112,57.71428571,11.03680982,Spider-Man Turn Off The Dark,1
113,59,39.63541667,Spring Awakening,0
114,0,0,Sunday In The Park With George '08,0
115,28.42857143,26.2,The 25Th Annual Putnam County Spelling Bee,0
116,20.42857143,21.73684211,The Addams Family,1
117,50.57142857,29.74242424,The Book Of Mormon,0
118,19.57142857,16.31666667,The Bridges Of Madison County,0
119,0,0,The Color Purple 2015,0
120,15.42857143,11.08823529,The King And I 2015,0
121,17.57142857,21.72566372,The Last Ship,0
122,23.28571429,30.08737864,The Lion King,0
123,77.14285714,59.04597701,The Little Mermaid,1
124,0,0,The Mystery Of Edwin Drood '12,0
125,35.85714286,34.76923077,The People in the Picture,1
126,76.71428571,62.77669903,The Phantom Of The Opera,0
127,19.42857143,25.171875,The Scottsboro Boys,0
128,47.85714286,56.4,The Story Of My Life,0
129,23.71428571,34.87179487,The Visit 2015,0
130,34.28571429,45.07017544,Tuck Everlasting,0
131,24.14285714,23.59574468,Waitress,1
132,66.71428571,36.5257732,West Side Story,0
133,88.71428571,75.54368932,Wicked,0
134,47.57142857,37.2,Women On The Verge Of A Nervous Breakdown,0
135,56.28571429,57.58,Wonderland,0
136,26.71428571,27.58052434,Xanadu,1