Year,Best Musical ,Best Revival,Best Director,Best Actress,Best Actor
2007,Spring Awakening,Company,Spring Awakening,Grey Gardens,Curtains
2008,In The Heights,South Pacific,South Pacific,Gypsy,South Pacific
2009,Billy Elliot: The Musical,Hair,Billy Elliot: The Musical,Next to Normal,Billy Elliot: The Musical
2010,Memphis,La Cage aux Folles,La Cage aux Folles,A Little Night Music,La Cage aux Folles
2011,The Book Of Mormon,Anything Goes,The Book Of Mormon,Anything Goes,Catch Me If You Can
2012,Once,Progy and Bess,Once,Porgy and Bess,Once
2013,Kinky Boots,Pippin,Pippin,Pippin,Kinky Boots
2014,A Gentleman'S  Guide to Love and Murder,Hedwig and the Angry Inch,A Gentleman'S  Guide to Love and Murder,Beautiful: The Carole King Musical,Hedwig and the Angry Inch
2015,Fun Home,The King and I,Fun Home,The King and I,Fun Home
2016,Hamilton (musical),"Hello, Dolly!",Hamilton (musical),The Color Purple,Hamilton (musical)